Identifiant arrêté,rnb_ids,match_reason
2023-86--ligne240,"3C7QS6HTE8V2,JQC26482J54Q",precise_address_match
2023-89--ligne241,TSTMGJVZXZ56,precise_address_match
2023-90--ligne242,QGVRAPZ4NYYR,precise_address_match
2023-91--ligne243,222GKCAJ9GKT,precise_address_match
2023-92--ligne244,YNZQ52YHM22S,precise_address_match
2023-93--ligne245,KY7ARKDB1PWF,precise_address_match
2023-94--ligne246,"8SEDJ23AAG9C,AEDCTH9AWPHJ,PSN2M6QT359K,XC9F982ETT8M",precise_address_match
2023-96--ligne247,YDQWF334Y2KB,precise_address_match
2023-99--ligne248,,
2023-100--ligne249,Z11824SWMRRT,precise_address_match
2023-101--ligne250,QANCGGJRCJBK,precise_address_match
2023-102--ligne251,RBGCJSW6XJFF,precise_address_match
2023-107--ligne252,"BXJKTF3N8SPT,XY8MCP5AW67Q",precise_address_match
2023-108--ligne253,"1AD4T1APQKYN,CNC1R46YPXN8,PQEM6EQW5S5R,V4EYQ4WCB8BP",precise_address_match
2023-109--ligne254,9ZTM5SD8HWBP,precise_address_match
2023-110--ligne255,ANEQVQCHF2DP,precise_address_match
2023-111--ligne256,VVSDW33Z2BDJ,precise_address_match
2023-114--ligne257,"1RV81BA79T9G,27ETX4AEB12K,3QX77PQMKJM6,7NB13RE19JAP,GP333KA5KCTM,JY82T7G7HNK7,KCNVNQX7XT85,QDY9RC4J8219",precise_address_match
2023-115--ligne258,YNZQ52YHM22S,precise_address_match
2023-116--ligne259,,
2023-117--ligne260,,
2023-119--ligne261,"4GXAZC3FPBM9,RJEB3T6AQSD4",precise_address_match
2023-122--ligne262,"3WXXVNFRK7F3,43VQ9Y4HRYYC,489FQWYE5HCW,6Y83AXPA36FH,7XWVYQ5WSBY8,9W89WG6D58T3,AYK913WX1R85,DHJ8HYJZ1H49,ECHDK3P74PD3,YSAEVHZ6KT8H",precise_address_match
2023-124--ligne263,,
2023-125--ligne264,6HFCFSXW2M7B,precise_address_match
2023-126--ligne265,DVFRS7VKKRRH,precise_address_match
2023-128--ligne266,A2SSHZ6FQZDE,precise_address_match
2023-129--ligne267,8W1CSAFB35VQ,precise_address_match
2023-130--ligne268,RVMFY2D81PEZ,precise_address_match
2023-131--ligne269,ET7T8PEX5J7H,precise_address_match
2023-134--ligne270,"1D5156HMPQFH,ZK61ZY35424K",precise_address_match
2023-135--ligne271,"QHBXCBBP32GQ,ZEC4KC5N57J3",precise_address_match
2023-136--ligne272,9TTP49CHAGXZ,precise_address_match
2023-136--ligne273,9TTP49CHAGXZ,precise_address_match
2023-137--ligne274,ACAPKGQQRDCM,precise_address_match
2023-137--ligne275,"7T521M1V1E86,ECZ7J7C6V87H,PPZ1G3RBZBKY,SKYGSQHGV6WV,YFZEZ3ACYJ7X",precise_address_match
2023-138--ligne276,TZBK6AP4NYHK,precise_address_match
2023-139--ligne277,PYHQ4WRTYGWR,precise_address_match
2023-142--ligne278,9G6CET4N3N3N,precise_address_match
