ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
300;PAU - CDEF Accueil Mineurs (Pasteur);4;Rue Pasteur; ;64000;PAU;64445;426488.2502;6250558
301;PAU - CDEF Accueil Mineurs (Loup);56;Avenue du Loup; ;64000;PAU;64445;427695.0915;6251687.519
302;PAU - SG et PMed (Angot);1;Avenue du Président Pierre Angot; ;64000;PAU;64445;426762.8258;6252604.886
303;PONTACQ - Nouv.Collège Jean Bouzet (Henri IV);50;Avenue Henri IV; ;64530;PONTACQ;64453;446402.0596;6237734.141
291;LEE - CDEF Logement Directeur (Peyreget);3;Rue du Peyreget; ;64320;LEE;64329;432365.5059;6249203.295
292;ARETTE - Ascenseur station (La-Pierre-Saint-Martin); ; ;La-Pierre-Saint-Martin;64570;ARETTE;64040;394254.0916;6216042.587
293;ARETTE - Bâtiment EPSA (La-Pierre-Saint-Martin); ; ;La-Pierre-Saint-Martin;64570;ARETTE;64040;394205.6868;6215992.082
294;ARETTE - Parvis (La-Pierre-Saint-Martin); ; ;La-Pierre-Saint-Martin;64570;ARETTE;64040;394339.253;6215945.496
295;PAU - Agence Tourisme (Hauterive);12;Boulevard Hauterive; ;64000;PAU;64445;427675.2019;6253105.353
296;SAINT-ETIENNE-DE-BAIGORRY - Hôtel Choko Ona (Eyheralde); ; ;Eyhéralde;64430;SAINT-ÉTIENNE-DE-BAÏGORRY;64477;347693.2051;6242951.598
298;LONS - Permanence SDSEI (Mairie);13;Rue de la Mairie;CCAS;64140;LONS;64349;423515.8246;6252286.608
305;CIBOURE - Mission Pêche et Ports (Recollets); ;Place des Récollets; ;64500;CIBOURE;189;321962.681;6265101.984
306;OLORON-SAINTE-MARIE – Cab. Med. (Tassigny);3;Avenue du Maréchal de Lattre de Tassigny; ;64400;OLORON-SAINTE-MARIE;64422;405774.0565;6239148.398
307;PAU - Parc routier (Salié); ;Rue du Cami Salié;(Rocade RD118);64000;PAU;64445;431768.7103;6252211.121
308;PAU - Mission Habitat (Henry IV);4;Rue Henry IV; ;64000;PAU;445;426349.8507;6249803.928
309;BILLERE - Permanence SDSEI (Ferry);5;Impasse Jules Ferry; ;64140;BILLERE;129;425007.9644;6250964.338
310;ARUDY - Nouv. Collège Ossau (Saint Michel); ;rue Saint Michel; ;64260;Arudy;62;420421.2635;6228694.358
312;PAU - Dépôt EPI (Salié);12;Chemin Salié; ;64000;PAU;64445;432006.9976;6252282.453
311;ARETTE - Hébergement Maison de la Vallée (La-Pierre-Saint-Martin);9089;route des Arrres; ;64570;ARETTE;64040;394616.7142;6215704.719
